GeoName,LineCode,Description,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
Virginia,2,Population (persons) 1/,3986000,4095000,4180000,4276000,4357000,4411000,4456000,4508000,4558000,4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8025030,8107628,8196915,8269638,8333578,8389864,8444688,8502578,8547016,8597339,8632044,8642274
Virginia,3,Per capita personal income (dollars) 2/,2050,2126,2248,2364,2559,2729,2923,3161,3459,3868,4157,4505,4922,5424,5924,6404,6969,7613,8514,9425,10567,11700,12535,13341,14642,15627,16577,17542,18870,20136,20840,21431,22398,23192,24098,25035,25973,27360,28992,30637,32715,34001,34498,36188,38139,40167,42385,44248,45514,44087,45513,47608,49309,48573,50318,52238,53268,54976,56738,58460,61661,65408
Washington,1,Personal income (millions of dollars),7248,7609.3,8203.1,8393.9,8787.299999999999,9465.1,10693.3,11710.4,13034.8,14235.8,15036.7,15838.6,17079,19236,21826.7,24719.6,27398.8,30412,35366.6,40755.5,46241.9,51391.3,54606.4,58281.5,62431.1,66376.3,70875.8,75031.2,81724.10000000001,90313.2,99151.2,106188.9,114759,120676.9,126855.4,134146.3,144246.2,155513.9,170274.9,180875.8,193410,198031,201013.6,209084.9,224764.7,233923.2,255002.6,276678.4,290319.4,277305.3,285579.9,302075.9,326698.8,333763.7,359690.6,381158.1,401774.3,426283.5,454257,479840.9,516441.1,556326.7
Washington,2,Population (persons) 1/,2855000,2882000,2942000,2955000,2961000,2967000,3057000,3174000,3270000,3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743597,6830460,6904030,6974173,7068026,7180454,7315935,7446807,7548537,7638689,7718785,7738692
Washington,3,Per capita personal income (dollars) 2/,2539,2640,2788,2841,2968,3190,3498,3689,3986,4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11130,12133,12769,13553,14373,15085,15917,16556,17613,19028,20222,21129,22237,22860,23600,24475,25898,27405,29513,30958,32723,33084,33212,34253,36378,37384,40027,42819,44241,41591,42348,44225,47320,47857,50890,53083,54918,57244,60178,62817,66907,71889
West Virginia,1,Personal income (millions of dollars),3075.7,3117.2,3255.6,3400.1,3628.1,3877.8,4115.3,4360.6,4622.8,4944.1,5511.8,6051.6,6700.7,7333.2,8128.7,9186.1,10241.1,11457.3,12752.7,14222.6,15632.7,17051.2,18069.4,18550.2,19940.7,20765.6,21261.4,21785,23237.6,24601,26186.2,27308.2,29404.4,30498.8,31820.5,32894.7,34208.8,35630.2,37123,38114.1,40327.7,42791.9,44263.4,44986.9,46658.4,49118.6,52467.6,54490.8,58167.1,58608.6,60753.8,64227.3,65898.5,65572.8,67764.39999999999,69178.60000000001,68630.10000000001,71397.60000000001,74777.89999999999,76299.5,80304.10000000001,85256.10000000001
West Virginia,2,Population (persons) 1/,1853000,1828000,1809000,1796000,1797000,1786000,1775000,1769000,1763000,1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854409,1857326,1858745,1856642,1853014,1846341,1835998,1822785,1810588,1800430,1789798,1782959
West Virginia,3,Per capita personal income (dollars) 2/,1660,1705,1800,1893,2019,2171,2318,2465,2622,2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8011,8726,9268,9537,10344,10890,11295,11728,12697,13618,14608,15182,16277,16780,17480,18037,18767,19587,20447,21037,22317,23754,24517,24823,25687,26981,28704,29711,31607,31718,32762,34581,35453,35318,36570,37468,37380,39169,41300,42378,44868,47817
Wisconsin,1,Personal income (millions of dollars),8994.299999999999,9282.4,9809.700000000001,10135.2,10909.4,11798.4,12888.4,13602.2,14896.3,16424.6,17648.8,18959.2,20731.6,23157.8,25436.5,27872,30609.1,34210.4,38209.9,42797.6,47282,51613.4,54462.3,57196.7,62913.2,66276.7,69916.8,73793.7,78456.3,85533.89999999999,90431.2,94002.39999999999,101407.7,106713.9,113394.4,119327.1,126196.7,133915.2,143202,148959.2,158832.3,166751.6,171113.4,176142.7,184301.6,191047.1,202681.2,212179.2,220311.5,216466.3,222982.7,235433.8,246242.3,247847.4,258347.8,269703.9,274374.7,284474.8,297730.1,308224.4,324252,345286.5
Wisconsin,2,Population (persons) 1/,3962000,4009000,4049000,4112000,4165000,4232000,4274000,4303000,4345000,4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691995,5713164,5734069,5757204,5778371,5794088,5812379,5836461,5858766,5880193,5892323,5895908
