state_id,state,year,foreign_full_born_pew,foreign_pct_overall_pew,unauthorized_k_pew,majority_unauthorized_mexico,unauthorized_cms,unauthorized_cms_entry,eligible_naturalize_total_cms,eligible_naturalize_cms_entry,foreign_citizen_mpi,foreign_noncitizen_mpi,foreign_pct_female_mpi,unauthorized_mpi,unauthorized_female_pct_mpi,unauthorized_latin_pct_mpi
34,North Carolina ,2000,432083,5.4,220,1,,,,,112822,317178,,,,
35,North Dakota ,2000,12351,1.9,5,1,,,,,5156,6958,,,,
36,Ohio ,2000,344889,3,60,1,,,,,169295,169984,,,,
37,Oklahoma,2000,129345,3.7,45,1,,,,,45766,85981,,,,
38,Oregon,2000,291172,8.5,100,1,,,,,97381,192321,,,,
39,Pennsylvania ,2000,507847,4.1,95,1,,,,,257339,250952,,,,
40,Rhode Island,2000,118384,11.3,25,0,,,,,56184,63093,,,,
41,South Carolina ,2000,118304,2.9,30,1,,,,,42983,72995,,,,
42,South Dakota,2000,14538,1.9,5,1,,,,,5452,8043,,,,
43,Tennessee ,2000,159343,2.8,55,1,,,,,53185,105819,,,,
44,Texas ,2000,2900232,13.9,1050,1,,,,,914326,1985316,,,,
45,Utah,2000,158100,7.1,70,1,,,,,48178,110486,,,,
46,Vermont,2000,22932,3.8,5,1,,,,,12451,10794,,,,
47,Virginia,2000,569787,8,200,0,,,,,232767,337512,,,,
48,Washington ,2000,616840,10.5,150,1,,,,,257648,356809,,,,
49,West Virginia ,2000,20643,1.1,5,1,,,,,10446,8944,,,,
50,Wisconsin ,2000,190011,3.5,55,1,,,,,76223,117528,,,,
51,Wyoming ,2000,12374,2.5,5,1,,,,,5121,6084,,,,
1,Alabama ,1990,41952,1,5,1,,,,,21391,22142,,,,
2,Alaska ,1990,22973,4.2,5,0,,,,,13365,11449,,,,
3,Arizona ,1990,276353,7.6,90,1,,,,,108878,169327,,,,
4,Arkansas ,1990,25319,1.1,5,1,,,,,12121,12746,,,,
5,California ,1990,6443028,21.7,1450,1,,,,,2017610,4441215,,,,
6,Colorado ,1990,141729,4.3,30,1,,,,,67277,75157,,,,
7,Connecticut ,1990,278205,8.5,20,0,,,,,145148,134235,,,,
8,Delaware ,1990,21770,3.3,5,1,,,,,12437,9838,,,,
9,District of Columbia ,1990,59144,9.699999999999999,15,0,,,,,,,,,,
10,Florida ,1990,1661216,12.9,240,0,,,,,713505,949096,,,,
11,Georgia ,1990,173135,2.7,35,0,,,,,67390,105736,,,,
12,Hawaii ,1990,164739,14.9,5,0,,,,,89983,72721,,,,
13,Idaho ,1990,28376,2.9,10,1,,,,,11856,17049,,,,
14,Illinois ,1990,945672,8.300000000000001,200,1,,,,,423665,528607,,,,
15,Indiana,1990,97149,1.8,10,1,,,,,49841,44422,,,,
16,Iowa ,1990,44983,1.6,5,1,,,,,19992,23324,,,,
17,Kansas ,1990,62340,2.5,15,1,,,,,27236,35604,,,,
18,Kentucky,1990,32437,.9,5,0,,,,,15890,18229,,,,
19,Louisiana ,1990,86082,2.1,15,0,,,,,38082,49325,,,,
20,Maine ,1990,36827,3,5,1,,,,,21281,15015,,,,
21,Maryland ,1990,310758,6.5,35,0,,,,,127005,186489,,,,
22,Massachusetts ,1990,574263,9.5,55,0,,,,,262079,311654,,,,
23,Michigan ,1990,353315,3.8,25,0,,,,,198087,157306,,,,
24,Minnesota,1990,114108,2.6,15,1,,,,,50764,62275,,,,
25,Mississippi ,1990,20982,.8,5,1,,,,,9514,10869,,,,
26,Missouri,1990,82771,1.6,10,0,,,,,45683,37950,,,,
27,Montana,1990,13620,1.7,5,1,,,,,8621,5158,,,,
28,Nebraska ,1990,26543,1.7,5,1,,,,,15312,12886,,,,
29,Nevada ,1990,104457,8.699999999999999,25,1,,,,,43373,61455,,,,
30,New Hampshire ,1990,40186,3.6,5,0,,,,,22876,18317,,,,
31,New Jersey ,1990,965560,12.5,95,1,,,,,470936,495674,,,,
32,New Mexico ,1990,78792,5.2,20,1,,,,,31915,48599,,,,
33,New York ,1990,2835635,15.8,350,1,,,,,1297020,1554841,,,,
34,North Carolina ,1990,116271,1.8,25,1,,,,,49616,65461,,,,
35,North Dakota ,1990,9600,1.5,5,1,,,,,5654,3734,,,,
36,Ohio ,1990,255582,2.4,10,1,,,,,155244,104429,,,,
37,Oklahoma,1990,64474,2.1,15,1,,,,,28882,36607,,,,
38,Oregon,1990,138121,4.9,25,1,,,,,59202,80105,,,,
39,Pennsylvania ,1990,364870,3.1,25,1,,,,,218209,151107,,,,
40,Rhode Island,1990,94979,9.5,10,0,,,,,42670,52418,,,,
41,South Carolina ,1990,48414,1.4,5,1,,,,,25411,24553,,,,
42,South Dakota,1990,7364,1.1,5,1,,,,,4719,3012,,,,
43,Tennessee ,1990,58476,1.2,10,1,,,,,26591,32523,,,,
44,Texas ,1990,1514875,8.9,450,1,,,,,515190,1009246,,,,
45,Utah,1990,57091,3.3,15,1,,,,,25841,32759,,,,
